type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
CASH_OUT,195490.04,C1107204185,0,0,C564160838,1104500.4,1254956.07,0
CASH_OUT,125275,C1538849250,0,0,C401424608,1477426.93,1178808.14,0
TRANSFER,60949.25,C773535564,0,0,C481402298,632824.07,617488.4,0
CASH_IN,101640.69,C265330243,3548387.86,3650028.55,C542895457,192397.59,93380.65,0
PAYMENT,3710.8,C1171097095,71978,68267.2,M165886570,0,0,0
CASH_IN,197677.22,C665829140,330964.89,528642.11,C1167066016,704745.77,455191.58,0
CASH_OUT,228693.31,C1958403865,30003,0,C1592415783,17515.23,246208.54,0
CASH_IN,16798.63,C1310763397,9173758.43,9190557.06,C1032986144,74638.42,57839.79,0
PAYMENT,2022.78,C581486647,0,0,M1599695386,0,0,0
PAYMENT,14608.67,C1938005794,11618,0,M353562601,0,0,0
PAYMENT,2694.66,C1611348974,6962,4267.34,M311642344,0,0,0
CASH_OUT,16181.01,C1717737290,0,0,C619120762,50555,54646.5,0
PAYMENT,1470.5,C618120037,82475,81004.5,M649154765,0,0,0
PAYMENT,14688.56,C1509123129,0,0,M1341040751,0,0,0
CASH_OUT,38040.24,C306941929,0,0,C1436136891,75837.12,113877.36,0
CASH_IN,438047.1,C1595866994,1004831.54,1442878.64,C803116137,16089256.36,15651209.26,0
PAYMENT,4562.64,C654982383,50068,45505.36,M1830963489,0,0,0
CASH_IN,20401.83,C1225706699,58315,78716.83,C1871794198,23,79431.79,0
CASH_OUT,20752.77,C1350082590,20539,0,C79685693,0,670941.67,0
PAYMENT,2692.72,C1503558070,4043,1350.28,M683247485,0,0,0
PAYMENT,4886.13,C2076711455,749,0,M2113997762,0,0,0
CASH_OUT,143107.12,C1842391101,0,0,C978740207,796258.35,1428005.14,0
TRANSFER,604352.69,C1870933697,33404,0,C1347890180,567,85026.63,0
CASH_IN,113396.2,C1069215399,85644.66,199040.86,C170899621,8103325.41,10464208.87,0
PAYMENT,159.07,C1138962177,21106,20946.93,M1444979520,0,0,0
PAYMENT,18935.93,C153483786,21838,2902.07,M2020450183,0,0,0
TRANSFER,379800.29,C1902147027,25653,0,C650657798,7395,2164952.74,0
PAYMENT,7077.42,C211419695,92007,84929.58,M1039147594,0,0,0
PAYMENT,1628.85,C1200246596,38093,36464.15,M973398147,0,0,0
TRANSFER,65457.92,C1310868976,0,0,C1334272276,81698.88,220712.61,0
CASH_OUT,308546.93,C1143349029,0,0,C1554540309,6790820,9235911.02,0
PAYMENT,324.01,C1447008102,3282,2957.99,M157170579,0,0,0
PAYMENT,3190.61,C2097683264,0,0,M1776708407,0,0,0
PAYMENT,3401.43,C1546277596,0,0,M1113449045,0,0,0
PAYMENT,19521.61,C467036416,0,0,M1998291375,0,0,0
PAYMENT,31152.16,C693604571,0,0,M2052452053,0,0,0
PAYMENT,22614.25,C1056195569,47357.93,24743.68,M1895872292,0,0,0
PAYMENT,9110.19,C1544267516,106628,97517.81,M1049045289,0,0,0
CASH_OUT,25310.91,C420651623,0,0,C422990138,30033,0,0
CASH_OUT,37286.35,C98357502,5149,0,C236282128,127684.18,994.76,0
CASH_OUT,219685.64,C1552061151,0,0,C1359484306,4572678.82,7364724.84,0
CASH_OUT,83355.55,C491773021,0,0,C1233472915,107625,0,0
PAYMENT,7419.45,C17860244,18781.62,11362.17,M977690141,0,0,0
CASH_IN,286220.69,C1942675585,12587653.43,12873874.12,C256902273,606720.59,468727.5,0
CASH_OUT,99767.56,C468465390,0,0,C2011904058,205071,140668.7,0
TRANSFER,1645104.9,C923387474,81310.97,0,C1060041730,11596187.25,16532032.16,0
CASH_OUT,247492.9,C427222730,0,0,C1991252420,533013.87,1241717.95,0
PAYMENT,7285.85,C1933664636,389,0,M1756565293,0,0,0
TRANSFER,352988.77,C418924007,18803,0,C831467165,50357,8605094.93,0
PAYMENT,10281.13,C1619385215,0,0,M1251987120,0,0,0
CASH_OUT,510448.01,C99681584,13695,0,C1727331144,0,836885.7,0
CASH_IN,39821.33,C356463786,865920.04,905741.37,C1590550415,21894336.51,21939087.4,0
CASH_IN,188239.44,C904521933,1493929.25,1682168.68,C1918034924,1651020.31,1096437.03,0
